,ChanIndx,CoarseChanNum,DEC,DriftRate,FileID,Freq,FreqEnd,FreqStart,FullNumHitsInRange,Hit_ID,MJD,ON_in_range,RA,RFI_in_range,SNR,Source,TopHitNum,delta_t,filename_fil,obs_run,status
36,828565.0,86.0,21d06m12.24s,-0.522211,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.767366,1380.768177,1380.76655,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,141.717222,HIP39826,308.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
37,828922.0,86.0,21d06m12.24s,-0.601035,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.768378,1380.769189,1380.767562,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,132.89051,HIP39826,309.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
38,829276.0,86.0,21d06m12.24s,-0.630594,spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.h5,1380.769382,1380.770193,1380.768566,1317947.0,HIP39826_438,57456.030891203707,1,8h08m12.816s,0.0,106.721422,HIP39826,310.0,0.0,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_02669_HIP39826_0009.gpuspec.0000.fil,AGBT16A_999_79,A1_table
203239,1012679.0,86.0,21d06m11.52s,-0.532064,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.289422,1381.290233,1381.288605,342341.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,27.566007,HIP39826,640.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203240,1014029.0,86.0,21d06m11.52s,-0.413828,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.29325,1381.294061,1381.292433,342341.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,29.413386,HIP39826,641.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203241,1018319.0,86.0,21d06m11.52s,-0.482799,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.305414,1381.306225,1381.304598,342341.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,30.33874,HIP39826,644.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203242,1021493.0,86.0,21d06m11.52s,-0.482799,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.314414,1381.315225,1381.313598,342341.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,25.638069,HIP39826,647.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203243,1022552.0,86.0,21d06m11.52s,-0.502505,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.317417,1381.318228,1381.3166,342341.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,44.73152,HIP39826,648.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203244,269.0,87.0,21d06m11.52s,-0.512358,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.348418,1381.349229,1381.347655,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,40.455296,HIP39826,651.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203245,8382.0,87.0,21d06m11.52s,-0.532064,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.371422,1381.372233,1381.370605,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,44.066444,HIP39826,655.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203246,8733.0,87.0,21d06m11.52s,-0.502505,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.372417,1381.373228,1381.371601,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,37.147715,HIP39826,656.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203247,9440.0,87.0,21d06m11.52s,-0.532064,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.374422,1381.375233,1381.373605,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,25.952532,HIP39826,657.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203248,11556.0,87.0,21d06m11.52s,-0.532064,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.380422,1381.381233,1381.379605,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,26.853013,HIP39826,660.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203249,11906.0,87.0,21d06m11.52s,-0.482799,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.381414,1381.382225,1381.380598,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,42.611808,HIP39826,661.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203250,18609.0,87.0,21d06m11.52s,-0.532064,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.400421,1381.401232,1381.399604,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,58.186143,HIP39826,663.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203251,18962.0,87.0,21d06m11.52s,-0.532064,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.401422,1381.402233,1381.400605,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,27.19256,HIP39826,664.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203252,22841.0,87.0,21d06m11.52s,-0.532064,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.412421,1381.413232,1381.411604,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,31.297086,HIP39826,665.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203253,24604.0,87.0,21d06m11.52s,-0.512358,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.41742,1381.418231,1381.416603,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,51.356813,HIP39826,667.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203254,27072.0,87.0,21d06m11.52s,-0.512358,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.424418,1381.425229,1381.423601,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,69.395662,HIP39826,669.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
203255,27778.0,87.0,21d06m11.52s,-0.512358,spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.h5,1381.426419,1381.42723,1381.425603,35274.0,HIP39826_764,57456.038599537038,,8h08m12.864s,0.0,31.528808,HIP39826,670.0,666.000000411,/mnt_blc21/datax2/collate/AGBT16A_999_79/spliced_blc02030405_2bit_guppi_57456_03335_HIP39826_0011.gpuspec.0000.fil,AGBT16A_999_79,A2_table
